branch,type,last_commit_date,last_commit_msg,author
claude/angry-poitras,branch,2026-04-03T06:11:52Z,feat: 新增 rule_summary.md + README 維護規則,Johnny Cheng
claude/confident-edison,branch,2026-04-03T06:11:52Z,feat: 新增 rule_summary.md + README 維護規則,Johnny Cheng
claude/cranky-rhodes,branch,2026-04-03T06:11:52Z,feat: 新增 rule_summary.md + README 維護規則,Johnny Cheng
claude/dreamy-gauss,branch,2026-04-03T06:11:52Z,feat: 新增 rule_summary.md + README 維護規則,Johnny Cheng
claude/elegant-brahmagupta,branch,2026-04-03T06:11:52Z,feat: 新增 rule_summary.md + README 維護規則,Johnny Cheng
claude/objective-leavitt,branch,2026-04-03T06:11:52Z,feat: 新增 rule_summary.md + README 維護規則,Johnny Cheng
claude/sharp-raman,branch,2026-04-03T06:11:52Z,feat: 新增 rule_summary.md + README 維護規則,Johnny Cheng
main,branch,2026-04-03T06:11:52Z,feat: 新增 rule_summary.md + README 維護規則,Johnny Cheng
origin/HEAD,branch,2026-04-03T06:11:52Z,feat: 新增 rule_summary.md + README 維護規則,Johnny Cheng
origin/claude/angry-poitras,branch,2026-04-03T06:11:52Z,feat: 新增 rule_summary.md + README 維護規則,Johnny Cheng
